tic,time,open,high,low,close,volume,day
600519.SH,2022-12-01,1660.0,1680.0,1630.79,1630.8,51358,3
600519.SH,2022-12-02,1635.0,1652.99,1621.2,1633.88,23884,4
600519.SH,2022-12-05,1668.0,1679.0,1649.0,1664.9,36127,0
600519.SH,2022-12-06,1655.0,1726.9,1652.0,1688.0,44147,1
600519.SH,2022-12-07,1677.81,1720.0,1670.03,1684.0,35526,2
600519.SH,2022-12-08,1682.0,1695.0,1665.0,1687.02,19730,3
600519.SH,2022-12-09,1692.0,1730.0,1682.0,1730.0,39215,4
600519.SH,2022-12-12,1715.86,1766.0,1715.0,1739.02,34755,0
600519.SH,2022-12-13,1737.0,1760.69,1730.0,1750.0,21385,1
600519.SH,2022-12-14,1743.0,1780.8,1743.0,1770.87,29098,2
600519.SH,2022-12-15,1805.0,1816.0,1780.0,1786.99,30634,3
600519.SH,2022-12-16,1773.25,1791.0,1743.0,1786.87,33303,4
600519.SH,2022-12-19,1798.8,1798.8,1760.17,1773.0,24987,0
600519.SH,2022-12-20,1765.33,1765.33,1682.45,1715.0,46198,1
600519.SH,2022-12-21,1724.0,1739.0,1717.65,1739.0,22816,2
600519.SH,2022-12-22,1756.7,1783.0,1745.0,1768.0,23175,3
600519.SH,2022-12-23,1752.4,1782.0,1745.0,1771.0,17319,4
600519.SH,2022-12-26,1771.0,1771.0,1735.02,1742.06,21384,0
600519.SH,2022-12-27,1738.0,1747.15,1725.5,1733.0,17905,1
600519.SH,2022-12-28,1745.88,1747.0,1708.01,1733.0,21438,2
600519.SH,2022-12-29,1717.0,1726.99,1701.05,1719.0,22418,3
600519.SH,2022-12-30,1736.0,1752.99,1727.0,1727.0,25333,4
600519.SH,2023-01-03,1731.2,1738.43,1706.01,1730.01,26034,1
600519.SH,2023-01-04,1730.0,1738.7,1716.0,1725.01,20416,2
600519.SH,2023-01-05,1737.0,1801.0,1733.0,1801.0,47943,3
600519.SH,2023-01-06,1806.12,1811.9,1787.0,1803.77,24904,4
600519.SH,2023-01-09,1835.0,1849.98,1807.82,1841.2,30977,0
600519.SH,2023-01-10,1839.06,1864.5,1830.5,1854.45,22732,1
600519.SH,2023-01-11,1856.0,1860.0,1836.84,1844.95,22720,2
600519.SH,2023-01-12,1848.0,1856.0,1833.0,1834.0,17193,3
600519.SH,2023-01-13,1844.18,1888.0,1840.0,1887.0,31940,4
600519.SH,2023-01-16,1886.0,1935.0,1881.0,1912.9,36848,0
600519.SH,2023-01-17,1913.16,1923.0,1895.0,1908.0,21299,1
600519.SH,2023-01-18,1914.0,1925.3,1890.0,1893.0,21063,2
600519.SH,2023-01-19,1892.5,1892.52,1866.0,1880.21,23439,3
600519.SH,2023-01-20,1889.19,1898.25,1858.0,1860.01,25609,4
600519.SH,2023-01-30,1909.0,1909.0,1880.0,1888.0,35923,0
600519.SH,2023-01-31,1896.5,1899.95,1833.07,1845.76,32991,1
600519.SH,2023-02-01,1854.98,1859.0,1811.4,1844.97,33974,2
600519.SH,2023-02-02,1848.38,1859.0,1826.0,1836.11,29759,3
600519.SH,2023-02-03,1820.0,1826.0,1795.68,1818.0,34945,4
600519.SH,2023-02-06,1780.0,1795.0,1760.0,1795.0,42661,0
600519.SH,2023-02-07,1808.08,1808.8,1787.73,1797.0,24322,1
600519.SH,2023-02-08,1800.01,1805.97,1775.0,1784.0,16676,2
600519.SH,2023-02-09,1778.0,1829.75,1775.01,1818.0,29754,3
600519.SH,2023-02-10,1810.1,1818.49,1801.05,1810.0,17985,4
600519.SH,2023-02-13,1810.0,1874.5,1810.0,1856.35,38147,0
600519.SH,2023-02-14,1856.46,1857.4,1835.0,1843.79,19566,1
600519.SH,2023-02-15,1843.78,1855.3,1835.81,1841.0,18177,2
600519.SH,2023-02-16,1841.34,1887.0,1828.0,1861.82,33246,3
600519.SH,2023-02-17,1850.16,1873.0,1820.05,1820.78,26443,4
600519.SH,2023-02-20,1821.0,1878.8,1817.2,1875.0,29669,0
600519.SH,2023-02-21,1874.0,1874.0,1851.0,1867.0,18751,1
600519.SH,2023-02-22,1855.01,1863.9,1831.8,1836.0,21869,2
600519.SH,2023-02-23,1840.0,1848.8,1805.25,1818.0,21881,3
600519.SH,2023-02-24,1810.11,1810.19,1782.18,1788.0,24635,4
600519.SH,2023-02-27,1778.5,1815.0,1775.02,1810.41,22065,0
600519.SH,2023-02-28,1819.0,1822.01,1783.3,1813.74,23952,1
600519.SH,2023-03-01,1813.0,1848.0,1803.23,1838.53,24458,2
600519.SH,2023-03-02,1829.0,1838.99,1821.1,1828.0,13144,3
600519.SH,2023-03-03,1839.77,1841.61,1802.48,1818.04,16198,4
600519.SH,2023-03-06,1818.18,1818.5,1796.77,1807.14,20646,0
600519.SH,2023-03-07,1805.98,1816.6,1788.0,1788.3,22785,1
600519.SH,2023-03-08,1780.02,1785.94,1761.12,1770.42,22764,2
600519.SH,2023-03-09,1768.0,1785.0,1740.0,1770.02,27612,3
600519.SH,2023-03-10,1751.57,1781.0,1750.0,1750.0,21161,4
600519.SH,2023-03-13,1751.0,1775.0,1749.0,1762.0,20560,0
600519.SH,2023-03-14,1763.78,1779.88,1738.5,1766.0,23705,1
600519.SH,2023-03-15,1778.37,1784.88,1750.12,1750.92,19213,2
600519.SH,2023-03-16,1740.0,1770.0,1739.01,1751.99,17646,3
600519.SH,2023-03-17,1770.0,1775.89,1736.0,1742.0,27023,4
